,Company,Job Title,Location,Rating,Salary,Description
147,Standard Insurance Company,Senior Director Human Resources Technology & Business Systems Strategy,"Portland, OR",,"120,000"," If you want to make a positive difference and stand out from the crowd, you’ll fit in at The Standard (www.standard.com). Through our retirement plans and insurance products and services, we help people achieve financial well-being and peace of mind. Come join us and share our passion for serving our customers in a positively different way.   Provide strategic vision, leadership, planning, project coordination and management of the company’s human capital management, talent acquisition, payroll and time tracking systems – Workday and iCIMS –while concurrently facilitating efficient operations to meet business needs. Direct and oversee development of technical solutions that support the enterprise functions of recruiting, talent management, compensation and benefits administration, personnel transaction processing, time tracking, payroll and associated reporting.   Develop and sustain a high-performing team through coaching, providing feedback and holding team members accountable for behaviors that drive results and deliver value to customers. Responsible for team composed of HRIS business/systems analysts, project managers, intranet web developers and transaction processing specialists.   Accountable for providing and continuously improving delivery of services including business analysis, technical design and implementation, data management and security, project management, maintenance of intranet presence, HR transaction processing and systems support.   Develop and maintain strong relationships with all levels of management, peer functions within HR, payroll and other corporate organizations including Corporate Finance and IT.   This position is part of the HR Leadership Team and is responsible for forecasting and managing the departmental budget.  Responsible for managing the work environment, identifying workforce needs and ensuring alignment with corporate manager expectations, values and vision. Develop and continuously evolve operational model to meet organizational needs Develop and deliver innovative solutions for cost-effectively delivering services to support the technology footprint. Define and maintain an organizational model that sustainably delivers on business priorities while incorporating flexibility by leveraging a combination of internal and external resources. Build and maintain a strong HRIS team that has a clear vision of the important role they play and a passion for delivering high quality results. Establish a high bar with respect to performance and motivate team members to continuously stretch, grow and develop the skills they need to continuously improve the value they deliver to the organization. Provide strategic vision and maintain technology roadmap Develop and maintain a deep understanding of the strategic direction and priorities of our businesses. Effectively leverage professional network and provide thought leadership with respect to current and emerging technology trends/solutions that address business priorities and inform the technology roadmap. Take lead in evaluating and recommending solutions that address business needs. Partner with IT to procure funding for approved initiatives. Manage identification, prioritization, design and development of technical solutions to address business needs, steward HR and payroll data and provide project management and web development services Leveraging best practices in software development, maintain disciplined approaches to reviewing, approving and prioritizing requests, gathering and documenting requirements, designing technical solutions, developing and conducting all levels of testing and ensuring that the timing and process for implementing changes protects the integrity of the production environment. Provide technical oversight and quality assurance for all design work ensuring that solutions are evaluated considering both end user experience and soundness, scalability and sustainability of technical design. Understand data security requirements and partner with Information Security and Corporate Compliance to ensure implemented technology solutions meet these requirements. Ensure cross-functional governance is in place for critical business data. Accountable for the successful delivery of projects ensuring proven project management tools and techniques are leveraged including well-defined project charters, clearly defined success criteria, steering committees, development and management of project plans, resource management, stakeholder analysis and change management. Ensure efficient, effective and quality solutions for processing of HR personnel and payroll transactions Ensure implemented technology meets the transactional, reporting and analytical needs of our businesses. Provide leadership and guidance to team that processes HR personnel transactions championing a culture of continuous process improvement. Working in conjunction with other HR department leads, ensure that end-to-end processes are delivering desired results. Education:  Bachelor’s degree in information systems, computer science, business administration or related field or the equivalent combination of education and experience  Experience: 10 to 15 years’ experience as an IT or HRIS manager Developing and maintaining a high performing team Implementing configurable package software solutions and/or managing custom developed software solutions Desired – experience working with human capital management, payroll and time tracking systems A plus – Project Management Certification or experience leveraging project managers on high impact projects Skills: Critical thinking and innovative problem solving Ability to develop credibility quickly and influence business leaders Proven record of driving results  Standard Insurance Company, The Standard Life Insurance Company of New York, Standard Retirement Services, Inc., StanCorp Equities, Inc. and StanCorp Investment Advisers, Inc., marketed as The Standard, are Affirmative Action/Equal Opportunity employers. All qualified applicants will receive consideration for employment without regard to race, religion, color, sex, national origin, gender, sexual orientation, age, disability, or veteran status or any other condition protected by federal, state or local law. The Standard offers a drug and alcohol free work environment where possession, manufacture, transfer, offer, use of or being impaired by an illegal substance while on Standard property, or in other cases which the company believes might affect operations, safety or reputation of the company is prohibited. The Standard requires a criminal background investigation, drug test, employment, education and licensing verification as a condition of employment. All employees of The Standard must be bondable.   For more information regarding your Equal Employment Opportunity applicant rights, click here.   Individuals with disabilities who need assistance or accommodation with the application process should contact HR Direct at 971-321-7871. This number is only for the use of individuals with disabilities who need accommodation with the application process. General inquiries about application status will not be addressed.  Note: To apply for this job, submit your application by clicking on the  Apply Now  button on this page"
148,Simple,"Senior Backend Engineer, CustOps Tooling","Portland, OR",,"123,000","The Company  We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.  The Team  The Salesforce Engineering team at Simple is building the next generation customer operations platform that empowers our Customer Relations team to deliver on our mission to do well by doing good. And we do just that by driving operational efficiencies, improving tooling continuity, and enabling the team to meet department SLAs. We work side by side with Platform Engineers, Product Managers, Business Analysts and the Customer Operations team, who all work towards a single goal of helping people feel confident with their money. We strongly believe in a culture of learning, and we're looking for a seasoned engineer who embodies that principle.  About You:  You are confident delivering solutions that enable the company to fulfill its federal requirements for compliance, while being accountable to our elite Customer Relations team. You have successfully built solutions by continuously improving code, process, and workflows. You have a proven record of collaborating across teams to deliver on company objectives and you don't shy away from challenging the status quo. You are intrigued by the challenge of improving how we interact with customers, whether it be building solutions for real-time customer contact, enabling self-service customer solutions, or wrestling with third party integrations until they cry 'uncle'. You are intentional and thoughtful in all you produce and you are proud of your craft.  What You'll Do All Day  As a Senior Backend Engineer on the Salesforce Engineering team you will write and maintain services to support our Salesforce platform that interact directly with Simple's microservice ecosystem. These services aggregate customer information within Salesforce, execute account actions, and move messages between customers and agents.   Specifically, you will:  Write ODATA and RESTful endpoints in Scala Integrate backend microservices with Salesforce Maintain messaging state machine Design, build and deploy solutions and enhancements, including integrations with partner applications, that improve customer experience and support agent efficiencies Work with backend engineers and data warehouse team members to implement integrated data and process flows Fix bugs in existing code We'd Like To See: 5-7 years development experience working in a distributed, service-oriented environment Professional experience using Scala or another JVM-based language Experience writing RESTful web services, with an understanding of JSON, API versioning Understanding of databases (schema design, querying, indexes) and message queuing concepts Demonstrated experience with Salesforce integration Nice to have: understanding of Finite State Machine pattern, ODATA, Kanban/Agile  Details:  We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!  Why Simple's a Great Place to Work: Based in Portland, Oregon-- a beautiful place to live and work (or just see in the background if you work remotely). Competitive salary and benefits package. A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office. Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other. We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.  In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.   A background check will be required for this opportunity.   Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.   By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination."
149,Standard Insurance Company,Security Operations Center Analyst IV,"Portland, OR",,"81,000","The Standard:  When you work at The Standard, you are part of a company that provides customers financial well-being and peace of mind. As a member of our GRC team, the information security analyst is chartered with analyzing, supporting, enhancing and operating information security programs. The position reports to the Director of Security Operations. At The Standard, we are large enough for big opportunities and small enough for big impact.  What We Are Looking For:  We are looking for information security analysts with experience as a Cyber Hunter/ Threat Intelligence/ Ethical Hacker. Are you a hands-on technology practitioner ready to bring meaningful, strategic change in the sphere of information protection? Are you an effective communicator and a change agent? If this sounds like you, we may be a good fit.   The ideal candidate will have at least seven years of deep technical experience with at least three years responding to and managing incidents. You will be able to read packet traces as if they were your native language based on your deep understanding of networking protocols, correlate events with or without a SIEM to assemble the bigger picture, and craft an efficient and effective response based on your breadth of knowledge of firewalls, group policy, and a variety of tools and technologies. You will have experience with design, implementation and monitoring of cloud infrastructure and identity management. You thirst for new technical knowledge and are often the first among your peers to investigate a product or service which looks like it may create new response opportunities. While you feel perfectly at home popping floor tiles in a data center you’re also a terrific conversationalist and diplomat with a great sense of humor. This is a senior role which includes mentoring other team members for growth and process definition in addition to core work.  Actively seeks to uncover indicators of compromise for which monitoring capabilities do not yet exist by reading and interpreting logs and packet traces. Intermediate to advanced understanding of network protocols and operating systems is required. Collects and aggregates information from a wide variety of sources and formats them for relevance to our environment Creates hypotheses for analytics and testing of threat data and tests methodically to prove or disprove the hypothesis. Shares lessons learned, initial indicators of detection, and opportunities for strengthening detection capabilities Maintains and enhances the documentation standard for discoveries and reporting of malicious tactics, techniques, and procedures Analyzes data from threat and vulnerability feeds and analyzes data for applicability to the organization Performs analysis of compensating controls and validates efficacy of existing controls Recommends security controls and/or corrective actions for mitigating technical and business risk Ensures compliance with all applicable configuration standards 7+ years of combined IT Security experience with a focus on Cyber Hunting & Threat Intelligence. Network and Platform Certifications Strongly Preferred (ACE, CCIE) Security Certifications Preferred (ISSEP, GCIA, GCIH, & GPEN) Understanding of network protocols and their analysis. Experienced with Windows & Linux operating systems. Experienced with event analysis leveraging SIEM tools. Knowledge of malware operators and indicators. Knowledge of current threat landscape (threat actors, APT, cyber-crime, etc..) Knowledge of Firewall and Proxy technology. Knowledge of penetration techniques. Nice to haves: Knowledge of IDS/IPS systems Basic experience with scripting, preferably in Python. CIPP, Certified Intrustion Analyst, Certified Expert Penetration Tester  Standard Insurance Company, The Standard Life Insurance Company of New York, Standard Retirement Services, Inc., StanCorp Equities, Inc. and StanCorp Investment Advisers, Inc., marketed as The Standard, are Affirmative Action/Equal Opportunity employers. All qualified applicants will receive consideration for employment without regard to race, religion, color, sex, national origin, gender, sexual orientation, age, disability, or veteran status or any other condition protected by federal, state or local law. The Standard offers a drug and alcohol free work environment where possession, manufacture, transfer, offer, use of or being impaired by an illegal substance while on Standard property, or in other cases which the company believes might affect operations, safety or reputation of the company is prohibited. The Standard requires a criminal background investigation, drug test, employment, education and licensing verification as a condition of employment. All employees of The Standard must be bondable.   For more information regarding your Equal Employment Opportunity applicant rights, click here.   Individuals with disabilities who need assistance or accommodation with the application process should contact HR Direct at 971-321-7871. This number is only for the use of individuals with disabilities who need accommodation with the application process. General inquiries about application status will not be addressed.  Note: To apply for this job, submit your application by clicking on the  Apply Now  button on this page"
150,Slalom LLC.,Data Scientist,"Portland, OR",,"145,000","Job Title:  Data Scientist, Information Management & Analytics   Slalom is a purpose-driven consulting firm that helps companies solve business problems and build for the future, with solutions spanning business advisory, customer experience, technology, and analytics. We partner with companies to push the boundaries of what’s possible—together.   Founded in 2001 and headquartered in Seattle, WA, Slalom has organically grown to more than 4,800 employees. We were named one of Fortune’s 100 Best Companies to Work For in 2016, 2017 and 2018, and are regularly recognized by our employees as a best place to work. You can find us in 25 cities across the U.S., U.K., and Canada.   Slalom Portland is looking for a Data Scientist who can both advise and deliver for clients looking to solve their most critical business challenges. This individual will be an integral part of Portland’s Information Management and Analytics Practice and, in addition to working with clients, collaborate closely with members of the Slalom team who are focused on data visualization, data architecture and engineering, advanced analytics, data strategy, and process.  Responsibilities: •  Deliver solutions leveraging latest machine learning (ML) techniques, including exploratory data analysis, feature engineering, model selection, model evaluation and cross-validation, and deployment and productionalization at all scales.   • Collaborate with client data science teams to enhance, scale, and operationalize existing models.   • Communicate effectively with both technical and nontechnical stakeholders.   • Provide thought leadership on latest ML and artificial intelligence (AI) technologies and applications to client industry and use cases.   • Conduct and support white-boarding sessions, workshops, design sessions, and project meetings as needed, playing a key role in client relations.  Qualifications: •  Quantitative background with 3+ years of experience applying data science to solve real-world business problems.   • Experience with core quantitative analysis techniques (e.g., predictive modeling, ML, AI, or natural language processing).   • Strong interest in applying data science to solve real-world business problems.   • Exceptional analytical, conceptual, and problem-solving abilities.   • Advanced knowledge of Python, R, or other advanced analytics platforms.   • Working knowledge of SQL for the use of data extraction, cleansing, and analysis.   • Knowledge of relational and dimensional database structures, theories, principles, and practices.   • Highly self-motivated to deliver both independently and with strong team collaboration.   • Experience running distributed processing on Hadoop or Spark.   • Experience with solution architecture on cloud platforms such as AWS, Azure, GCP, etc.   • Graduate degree in a technical field (computer science, applied mathematics, statistics, etc.).   • Experience using data visualization tools such as Tableau, Qlik, or Power BI is a plus.   Slalom is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
151,Nike,Senior Planning Analyst,"Beaverton, OR",,"73,000","Job Description  The Nike, Inc. Supply Chain team is the engine that propels product around the world. Supply Chain experts ensure that every year, almost a billion units of footwear, apparel and equipment arrive at the right place, at the right time. To ensure this complex job goes off without a hitch, Supply Chain teams work with a network of more than 50 distribution centers, thousands of accountants, and more than 100,000 retail stores worldwide - making the impossible happen every single day.  Description  Working in Nike's Marketplace Analytics team will be rewarding, it will be challenging, and it will most definitely not be just another job. You'll be an ambassador of the Nike brand -- everything we stand for: drive, determination, the unyielding commitment to excellence, these all will be a part of your everyday experience. We're committed to making every consumer's experience a rewarding one, and as a member of our analytics team, your contributions will be a big part of our success.  OVERVIEW  As the Sr. Planning Analyst you will help the team make decisions that will drive performance, directly leading to the accomplishment of annual goals. You will support Supply & Inventory Planning leadership to help drive insights and will be the point person on understanding the business.   You must be a self-starter, flexible thinker, and outstanding communicator who is comfortable learning quickly and connecting the dots between disparate methodologies. You will need those skills as you work across multiple functions and geographies within Nike's matrixed organization. Success will depend on your ability to quickly form both professional and personal relationships with colleagues and drive to rigorous, actionable, user-friendly deliverables.   Overall we are looking for someone who is passionate about working with numbers, who is highly technical but also has strong business acumen. The candidate should be self-driven, proactive and must show the capacity to manage several concurrent tracks of work. Superb teamwork skills are essential as is to communicate complicated ideas and conclusions in simple business terms.  Qualifications Bachelor's degree in Business, Finance, Economics, Marketing, Statistics or a related field (an additional 2 years of experience in lieu of a degree). MS/MBA preferred. Minimum 7 years of relevant professional experience with an emphasis on business reporting and analytics required. Proven ability to sift through data, identify critical information, develop hypotheses, apply relevant techniques, and perform rigorous analyses quickly and consistently. Experience, interest, and adaptability to working in a fast-paced, ambiguous environment. Exceptional interpersonal and communication skills, and ability to communicate complex concepts to senior and business audiences. Strong project management experience managing multiple project streams and delivering results across cross-functional teams. Propensity for thinking through projects in a process-oriented manner. Proficient in Excel, SQL and Tableau. Familiarity with R, SAS, or Python is preferred, but not required. Demonstrated ability to learn new tools quickly and independently. Demonstrated ability to use data to influence decision making. Ability to develop strong partnerships across a multi-layered organization required. Experience in developing an understanding of customers, competitors and retail trends; knowledge of sports apparel and footwear market preferred Familiarity with Nike product types and how they are marketed and distributed to accounts is strongly preferred. Job ID  00385920 "
152,RGP,Data Analysts,"Portland, OR",,," Turn experience into opportunity. Leverage your accomplishments to get the kind of employment you've always wanted: a self-directed career with work/life balance, world class clients and high-level initiatives - all with the collaboration and support of a global community of seasoned professionals. If you are ready to work directly with business leaders and their teams to solve problems and drive change, then a career at RGP is for you. Position Description: RGP is currently looking for Data Analysts and Data Analytic Consultants to support a local global iconic retailer in Portland, OR. Ideal consultants will possess 5 8 years database analysis, data mining, data mapping, gap analysis and data analytical experience. This position requires strong communication skills and the ability to work on project teams interacting with stakeholders across all levels of an organization. Desired Skills and Experience: Sound understanding of the SDLC process and working with large data volumes Demonstrated experience collecting, cleansing and converting data, data mining, data mapping and data integrity Hands-on experience with reporting/dash boarding tools Experience with Dimensional Modeling both logical and physical with leading database platforms such as Oracle, and MS SQL Server Assessing as-is and to-be environments review of current analytics, trends and reports Gap analysis and roadmap development Sound experience with business requirements gathering and writing data mapping for reporting and analytics solutions Ability to profile, develop, test and validate data related changes Understanding and exposure to change management and quality assurance/integrity measures and compliance activities regarding data  Professional Qualifications:  Bachelors degree or an equivalent work experience 5+ years of experience in data warehousing tools, big data and reporting technologies (Teradata, Oracle, Hadoop, Microstrategy, Business Objects, QlikView, Tableau or SAS) Experience creating dashboards, monitoring key metrics and analyzing trends Comfortable with analyzing data and translating into business impacts 5+ years of experience in and aptitude for, data governance and analysis tools (i.e., IBM, Ab Initio, Informatica, Dataflux, TOAD, Access, Excel, SAS, etc.) SQL tools, SSIS, SSRS, SSAS, and stored procedures, SQL scripts Databases platforms Oracle, SQL Server Experience in developing and presenting status, issues, decisions to management and potentially to executive management Conduct cross-impact analysis with other data governance teams for usage and impact of shared data. Database Architecture knowledge/experience is a plus We offer W2 employment with comprehensive compensation and benefits package, including: Health and life insurance 401(k) savings plan which includes a discretionary company match Employee stock purchase plan (ESPP) Paid personal time off program & paid holidays Professional development program and certification courses  Our Consultants enjoy the flexibility and autonomy to choose the client projects that interest them, while continuing to build professional relationships within our global community of Consultant and business professionals. We offer a comprehensive compensation and benefits package including health and life insurance, a 401(k) savings plan which includes a discretionary company match, employee stock purchase plan, paid personal time off program, professional development and certification courses.  For more information please visit us on RGP.com or check us out on LinkedIn.com or Facebook.com RGP is an Equal Employment Opportunity Employer and encourages applicants to apply regardless of race, color, religion, national origin, gender, pregnancy, sexual orientation, gender identity, age, physical or mental disability, genetic information or veteran status. RGP participates in the E-Verify Program.  Applicants have rights under Federal Employment Laws. If you are a qualified individual with a disability and need special assistance or an accommodation to use our website, please contact us by email at AskHR@rgp.com, or by phone at 877-261-4901 ext. 3. For more information, please refer to the following links: EEO is the Law Poster l E-Verify Poster l Spanish E-Verify Poster l Right to Work Poster l Spanish Right to Work Poster l Family and Medical Leave Act (FMLA) Poster l Employee Polygraph Protection Act (EPPA) Poster"
153,Kforce,Data Analyst,"Portland, OR",,,"RESPONSIBILITIES: Kforce has a client in search of a Data Analyst in Portland, Oregon (OR).   Responsibilities Include:   Research, produce, and maintain airline and airport content  Research and repair content-related bugs  Adjust datasets in coordination with the product owner  Implement content auditing and maintenance schedule  Participate in the design of content management tools  On a weekly basis, the ideal candidate will:   Collate data from various sources  Coordinate with various stakeholders in person and over e-mail  Perform internet research to verify and document their findings  Compare complex datasets to find differences  Analyze reports and suggest areas of improvement  Utilize various internal systems for data entry  Ensure desired outcomes are achieved REQUIREMENTS:  Strong attention to detail  Quick learner  Experience with Excel  A working understanding of common data exchange formats (CSV, XML, JSON)  Comfortable working on the command line  Technical Nice-to-haves:   Some knowledge of SQL  Basic understanding of version control systems (i.e., Git)  Software testing (QA) and/or documentation experience  Any experience writing code and/or scripts  Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status."
154,Worksource Oregon,Program Analyst,"Portland, OR",,," Application Deadline: Open Until Filled Job Location: Portland  Date Posted: 09/07/2018 Hours Worked Per Week: Not Provided  Shift:   Not Provided  Duration of Job: Either Full or Part Time, more than 6 months You may contact this employer directly.  (Obtain the contact information to print or add to your jobs.)   Having difficulty using this button?  Job Summary: * Videos * Duties Help ## Duties ### Summary **About the Position:**As a Senior Program Analyst with the Planning, Programs and Project Management Division you will act as an appropriations manager for thebudget.programming process and the full range of procedural and technical duties involved in the program formulation, presentation, and execution phases of assigned programs such as General Investigations; General, General; Operations and Maintenance; Flood Control and Coastal Emergencies; Regulatory and Support for Others. Learn more about this agency ### Responsibilities * Prepare and submit budget documents for assigned civil works programs. * Analyze and evaluate continuing changes in program plans and funding. * Review Programming and budget materials to avoid problems impeding physical or fiscal progress. * Analyze and evaluate policy directives issued by higher authority concerning the civil works program. * Analyze trends in the receipts, obligations, and expenditures for assigned appropriations. * Monitor execution of assigned appropriations within civil works program and budget. * Prepare the congressional justification data for assigned civil works programs for review by congress. * Collaborate with and provide guidance to managers. * Verify compliance with established goals. ### Travel Required Occasional travel - Occasional travel may be necessary. ##### Supervisory status No ##### Promotion Potential 12 * #### Job family (Series) 0343 Management And Program Analysis #### Similar jobs * Analysts, Program * Program Analysts * Requirements Help ## Requirements ### Conditions of Employment * Appointment may be subject to a suitability or fitness determination, as determined by a completed background investigation. ### Qualifications **Who May Apply**: Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. See Proof of Eligibility for an extensive list of document requirements for all employment authorities. * 30 Percent or More Disabled Veterans * Current Department of Army Civilian Employees * Current Permanent Department of Defense (DOD) Civilian Employee (non-Army) * Executive Order (E.O.) 12721 * Interagency Career Transition Assistance Plan * Land Management Workforce Flexibility Act * Military Spouses, under Executive Order (E.O.) 13473 * Non-Appropriated Fund Instrumentality (NAFI) * Non-Department of Defense (DoD) Transfer * Office of Personnel Management (OPM) Interchange Agreement Eligible * People with Disabilities, Schedule A * Postal Service/Peace Corps and Other Unique Authorities * Priority Placement Program (PPP), Program S (Military Spouse) registrant * Reinstatement * Veterans Employment Opportunity Act (VEOA) of 1998 In order to qualify, you must meet the experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Qualified candidates must describe in their resume at least one year of specialized experience equivalent to the GS-09 level in federal service with programming and budgeting policies and precedents for civil works projects. You will be evaluated on the basis of your level of competency in the following areas: * Administration and Management * Budget Administration * Financial Analysis Time in Grade Requiremen  Job Classification: Budget Analysts  Access our   statewide   or   regional   occupation report for more information about wages,   employment outlooks, skills, training programs, related occupations, and more.  Compensation  Salary:   Not Provided  Job Requirements  Experience Required: See Job Summary  Education Required: None Minimum Age: N/A  Gender: N/A"
155,Centizen,Data Engineer,"Beaverton, OR",,," Position Details: Data Engineer (861661T) Location:  Beaverton, OR Openings:  1 Job Number: Description:  As a  Senior Data Engineer , you will work with a variety of talented Client   teammates and be a driving force for building first-class solutions for Client   Technology and its business partners, working on development projects related   to supply chain, commerce, consumer behaviorand web analytics among others.  Role   responsibilities:  ·   Design and implement   features in collaboration with product owners, data analysts, and business   partners using Agile / Scrum methodology   ·   Contribute to overall   architecture, frameworks and patterns for processingand storinglarge data   volumes   ·   Design and implement distributed data processing pipelines using   Spark, Hive, Sqoop, Python, and other tools and languages prevalent in the   Hadoop ecosystem   ·   Build utilities, user defined functions, and frameworks to better   enable data flow patterns   ·   Research, evaluate and utilize new technologies/tools/frameworks   centered around high-volume data processing   ·   Define and apply appropriate data acquisition and consumption   strategies for given technical scenarios   ·   Build and incorporate automated unit tests and participate in   integration testing efforts   ·   Work with architecture/engineering leads and other teams to ensure   quality solutions are implemented, and engineering best practices are defined   and adhered to   ·   Work across teams to resolve operational and performance issues  The following qualifications and technical   skills will position you well for this role:  ·   MS/BS in Computer   Science, or related technical discipline   ·   4+ years of experience   in large-scale software development,   2+ years of big data experience  Strong programming experience, Python preferred Extensive experience working with Hadoop   and related processing frameworks such as Spark, Hive, Sqoop, etc. Experience with RDBMS systems, SQL and   SQL Analytical functions Experience with workflow orchestration   tools like Apache Airflow Experience with performance and   scalability tuning The following skills and   experience are also relevant to our overall environment, and nice to have:  ·   Experience with Scala or   Java  Experience working in a public cloud   environment, particularly AWS Familiarity with cloud warehouse tools   like Snowflake Experience with   messaging/streaming/complex event processing tooling and frameworks such   as Kinesis, Kafka, Spark Streaming, Flink, Nifi, etc. Experience working with NoSQL data stores   such as HBase, DynamoDB, etc.  ·   Experience building   RESTful API’s to enable data consumption   ·   Familiarity with build   tools such as Terraform or CloudFormation and automation tools such as Jenkins   or Circle CI   ·   Familiarity with practices   like Continuous Development, Continuous Integration and Automated Testing   ·   Experience in Agile/Scrum   application development  These are the characteristics that we strive   for in our own work. We would love to hear from candidates who embody the same: Desire to work collaboratively with your   teammates to come up with the best solution to a problem Demonstrated experience and ability to   deliver results on multiple projects in a fast-paced, agile environment Excellent problem-solving and   interpersonal communication skills Strong desire to learn and share   knowledge with others Perform an action:"
156,Nike,Senior Analyst - Supplier Spend Analytics,"Beaverton, OR",,," Nike Global Procurement is on a mission to maximize consumer value, partner to win across the organization and create the future of how Nike thinks about data. Spend Analytics is part of our broader analytics initiative to provide meaningful insights across all of Procurement. We are looking for someone with a passion for data and analytics and an unwavering curiosity to learn, dig, and uncover interesting insights to fuel our decision making as an organization.   You will be responsible for developing robust visibility to spend and supplier information to fuel better and more meaningful procurement decisions. You will support teams across industries, but focused first on Supply Chain analyses including analyzing fuel market trends, rates, lanes, warehousing costs, historical data, and forecasting the impact of Nikes supply chain procurement functions (inbound and outbound transportation as well as 3PL activities and facilities). You will learn and inform our strategy around the NIKE supply chain and improve the analytics around spend in both supply chain and across the Nike business. You will partner with Nikes supply chain procurement functions to research, develop, and vet data models and optimization systems, processes and tools to enable best practice RFP processes and results.   Keys to success are the ability to: work as a selfless collaborator on a small team, partner with multiple stakeholders, use systems thinking to frame-up and solve problems, and communicate complex ideas in simple ways. Comfort with data and the ability to distill complex information into relevant actionable insights is a requirement. Experience with complex data and analytical models are a must. Excel skills and Tableau are a must, Alteryx experience is highly desired.   We are a close knit team, and are looking to expand our talent bench through this critically important role. If you love to learn, want a lot of ownership over your work, feel that nothing is impossible and cant help but to ask why then this job is for you. Accountabilities Own, execute, and drive Supply Chain Analytics scope for Global Procurement team Manage update and maintenance of RFP Analytics partnering with Procurement Analysts Bring creative solutions to ways to structure, visualize, and think about complex problems Collaborate with key stakeholders to gather analytics inputs and ensure business alignment Partner with Market Intel manager to understand relevant macro and micro market trends and forecasting methodologies Collaborate with partners to translate goals and objectives into projects and timelines with associated deliverables Present technical data effectively in both oral and written formats to a wide variety of users Proactively manage multiple projects through business prioritization and active communication with key stakeholders Present data in a visually compelling way Provide thought partnership and help across other Analytics pillars of work (Material Analytics, Market Intel, SG&A) Qualifications Bachelor's degree in Macro Economics, Math, Supply Chain, or related field of study. Three years experience in Analytics role Advanced Excel, Tableau, and Alteryx skills Must be flexible, adaptable and resourceful and be comfortable working in a fast-paced, results-oriented environment Cloud reporting experience desired but not required Analytically strong, detail oriented with strong organizational skills Strong communicator with a demonstrated ability to network, influence and inspire Curious, hungry to learn, desire to grow and develop self, team and leadership Limited overseas travel may be required, up to 5%"
