,Company,Job Title,Location,Rating,Salary,Description
44, Fisher Investments,Business Intelligence Data Analyst,"Portland, OR",,"67,000"," Job Description Overview The Opportunity:  The 401k Solutions Team (4S) is a seeking a Business Intelligence Data Analyst to support their analysis needs and the use of the group’s business intelligence tool, Domo. This includes data visualization, system administration, and creation of new data flows and data sets (I.e. ETL layer) to support our growing business needs. You will also guide and support the evaluation of system enhancements and new data sources. Your day will vary depending on team priorities and projects, but will generally be a mix of longer-term projects, research efforts, and ongoing daily responsibilities tied to the work of the team.  The Day-to-Day: Assist in the data architecture, the creation of flows, and the evaluation of new functionality to support the use of Domo Oversee the calculation, creation, and internal certification of visualizations and dashboards related to key performance indicators Turn business ideas and questions into sound and repeatable analysis to understand team operations and support the future growth of the business Analyze built graphs and dashboards and help articulate the meaning to 4S management Provide internal Domo analytics and calculation logic assistance to the rest of 4S Oversee 3rd party analytics vendors tasked with special projects Your Qualifications: Bachelor’s degree from a four-year college or university or equivalent combination of education/experience Minimum of five years of professional work experience, with at least three years in a data analytics capacity Experience working with business intelligence tools (Domo is preferred, but others acceptable as well) Strong quantitative, data visualization, data analysis, and analytical thinking skills is required Good communicator and comfortable working with senior leadership within the group Demonstrated excellence at presenting complex development topics to both executive and technical personnel Ability to work independently and manage multiple task assignments Strong knowledge and application of data literacy Strong problem solving and troubleshooting skills with the ability to exercise mature judgment Experience in recognizing business problems and recommending/developing solutions Why Fisher Investments:  Fisher Investments is a different kind of investment firm. We don’t come from Wall Street, nor do we believe we fit in with most of the finance industry, and we’re proud of that. We work for a bigger purpose: bettering the investment universe. From unmatched service to innovative perspectives on investing, it’s the people that make the Fisher purpose possible. After all, it’s our people that enable us to offer the level of service that we do. And we invest in them accordingly, offering exceptional benefits like:  100% coverage of premiums for health, vision and dental insurance A 50% 401(k) match, up to the IRS maximum 20 days of PTO*, plus 9 paid holidays And much, much more  We also provide a cumulative, continuous learning and development framework customized for every employee. This emphasis on personal and professional growth has yielded an award-winning work environment; we’re Great Place to Work Certified, and The Oregonian named us as a 2017 and 2018 Top Workplace.   But in the end, it’s not the perks that keep people here. They stay because they believe in our mission of service—our employees want to make a difference in an industry that can do better.   * California employees accrue up to 17 days of PTO and 3 days of sick time per year.   FISHER INVESTMENTS IS AN EQUAL OPPORTUNITY EMPLOYER   #LI-FI1   prism-fi@aperture-control.com"
45, Providence Health & Services,Bioinformatics Scientist,"Portland, OR",,"76,000"," Providence is calling a Bioinformatics Scientist (1.0 FTE, Days) to Providence Portland Medical Center in Portland, OR.  In this position, you will: Be responsible for providing bioinformatics support to the Providence Oregon Regional Molecular Genomics Laboratory and the Earle A. Chiles Research Institute for the analysis and interpretation of advanced molecular diagnostic techniques including Sanger sequencing, RT-PCR, gene expression, Next Generation Sequencing (NGS), microarray, etc. Develop and apply bioinformatics methods and software tools for analysis and integration with clinical information and perform tasks to reduce and consolidate data output to help interpret and prioritize findings. Support the maintenance of genomic and biologic database information used for record keeping, validation, quality control, quality monitoring, data storage, as well as assessment and implementation of new technology and software releases associated with NGS testing. Required qualifications for this position include: Master's of Science in Bioinformatics, Computational Biology, Computer Science or Biology with significant computational experience 2 years of experience related to bioinformatics work in a clinical laboratory or experience in academia, biotechnology, or other healthcare field Basic knowledge about molecular biology and genomics Proficiency in a scripting language (e.g. Python/Perl/Ruby) and *nix environments Preferred qualifications for this position include: 2 years of experience related to bioinformatics work in a clinical laboratory or experience in academia, biotechnology, or other healthcare field involving next generation sequence data analysis Experience with the following: Large dataset analysis in R Analyzing next generation sequencing data (DNA-seq, RNA-seq, etc.) Commonly used database and bioinformatics tools for NGS data analysis (e.g.) bedtools, SAMtools, IGV, ANNOVAR, Bowtie, GATK, ChimeraScan, UCSC Genome Browser, Galaxy, SoftGenetics, CLC bio, TopHat, etc.) Web framework (e.g. Django, Sinatra, Rails or others) HTML/CSS, Javascript and SQL on NoSQL databases  About Providence in Oregon   As the largest healthcare system and largest private employer in Oregon, Providence offers exceptional work environments and unparalleled career opportunities.   The Providence Experience begins each time our patients or their families have an encounter with a Providence team member and continues throughout their visit or stay. Whether you provide direct or indirect patient care, we want our patients to feel that they are in a welcoming place where they can be comfortable and free from anxiety. Our employees create the Providence Experience through simple, caring behaviors such as acknowledging and welcoming each visitor, introducing ourselves and Providence, addressing people by name, providing the duration of estimated wait times and updating frequently if timelines change, explaining situations in a way that puts patients at ease, carefully listening to their concerns, and always thanking people for trusting Providence for their healthcare needs. At Providence, our quality vision is simple,   ""Providence will provide the best care and service to every person, every time.""   Providence is consistently ranked among the top 100 companies to work for in Oregon. It is also home to two of our award-winning Magnet medical centers. Providence hospitals and clinics are located in numerous areas, ranging from the Columbia Gorge to the wine country to sunny southern Oregon to charming coastal communities to the urban setting of Portland. If you want a vibrant lifestyle while working with a team highly committed to the art of healing, choose from our many options in Oregon. SDL2017"
46, Nike,Senior Data Scientist - Market Sensing and Forecasting,"Beaverton, OR",,"162,000"," At Nike we are always on the offense, and we are looking for talented self-starters with a passion for advanced analytics to join our growing team. We are responsible for leveraging predictive analytics to enhance decision making and drive to action against our strategic priorities, elevating the function of analytics within Nike.   As a Senior Data Scientist on the Market Sensing and Forecasting team, within the Demand and Supply Management (DSM) organization, you will develop new sophisticated algorithms and improve existing approaches based on statistical/econometric models, machine learning techniques and big data solutions to forecast the demand for Nikes product portfolio. You will be a key contributor to the building, scoring, implementing, tracking, updating and promoting Nikes central forecasting platform that provides actionable insights and supports critical business and investment decisions.   The role is perfect for a team player with strong hands-on analytics experience, drive, and curiosity. You know how to rise above the numbers and explain the essential insights to business users, and you instinctively minimize complexity to focus on results. While you rely on data to prove your point, you love to think outside the box and solve problems creatively. Your experience helps you prioritize and overcome blockers and guide the work of others on your team. You thrive in an entrepreneurial environment, and you are excited by the challenge of building something from the ground up. You ask questions, are continually learning as well as finding opportunities to share knowledge with others.  Qualifications Advanced quantitative degree (Statistics, Mathematics, Economics, Computer Science or related field) and at least 5 years of related industry experience or Bachelors degree and 7-12 years related industry experience. Demonstrated understanding of market demand and supply interactions. Working knowledge of forecasting techniques, such as surveys, trend analysis, econometric models and machine learning algorithms. Strong technical skill set to work with analytics toolkit (R, Python, Spark, SQL, Hadoop, Amazon Web Services, SAS, Tableau) on large data sets. Experience in building, training, scoring, tuning and maintaining predictive models in production at enterprise scale. Proven ability to sift through data, identify critical information, analyze, develop hypothesis and make recommendations to broader audience. Proven track record of working cross functionally to develop innovative solutions using advanced analytics. Prior experience synthesizing and packaging complex analyses and delivering results to non-technical audiences including senior leadership teams. Excellent written and verbal communication skills, including ability to develop and deliver presentation. Familiarity with agile development methodology."
47, Oracle,IC2 Data Scientist - Marketing Cloud,"Portland, OR",,"129,000"," Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse big data sources to generate actionable insights and solutions for client services and product enhancement.   Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.   Duties and tasks are standard with some variation. Completes own role largely independently within defined policies and procedures. 2 years relevant experience and BA/BS degree preferred.  Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.*  Principal Data Scientist - Oracle Marketing Cloud  Our mission:  As the leading marketing platform provider, our mission is to help companies target and reach their customers not he right channel, at the right time, with the right message - leading to desired outcomes. We need talented, passionate people working together to make this happen. We are looking to grow our teams with people who share our energy and enthusiasm for creating the best experience for marketers who use our tools and services.  Our team:  We are a rapidly growing and highly capable product & engineering team building the most popular marketing tools on the planet. Every day, over 1000 brands send a Billion emails and count on us to create precise and impactful targeting capabilities, personalization, customization, and optimize these marketing campaigns on many fronts. With engineering hubs in Redwood Shores, Portland, Toronto, Boulder, London, Bangalore, and Hyderabad, we are helping our customers acquire new customers, engage and re-engage existing customers, and drive their businesses towards growth.  Your role:  As a Data Scientist at Oracle Marketing Cloud (OMC) your role is to follow the data. Analyze, visualize, and model targeting, customization, personalization, and optimization related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within OMC to grow and develop both personally and professionally.   We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data, and can work closely with the engineering and product management teams to solve complex problems with unique data, analysis, algorithms, and insights.   About you and your impressive experience -  Ph.D. or M.S. in a quantitative field such as Computer Science, Statistics, or Mathematics Minimum 2-4 years of professional industry experience in data science Expertise in machine learning and statistical modeling Experience in Ad:tech or Mar:tech space is a plus Passion to answer Product/Engineering questions with data Strong ability to code in various languages, use big data platforms, extract and analyze data.  We get excited about candidates who have this distinguished background:  Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products Are proficient in small data modeling work: Python, R, Julia, Octave Are proficient in big data modeling work: Hadoop, Pig, Scala, Spark Can fish for data: SQL, Pandas, Oracle Deploy data science solutions: Java, Python, C Communicate concisely and persuasively with engineers and product managers.  /As part of Oracle s employment process candidates will be required to complete a pre-employment screening process, after a conditional offer has been extended/  *Job:** **Business Operations* *Organization:** **Oracle* *Title:** *IC2 Data Scientist - Marketing Cloud* *Location:** *United States* *Requisition ID:** *18001HGI*"
48, Alignment-Healthcare,"Data Scientist (Portland, OR or Orange, CA)","Portland, OR",,"113,000"," SunIRef:it   Data Scientist (Portland, OR or Orange, CA) - Portland, OR 97204 - **********   Find Jobs   Company Reviews   Find Salaries   Find Resumes   Employers / Post Job   Upload your resume   Sign in   Home   whatjob title, keywords, or company   wherecity, state, or zip code   Find Jobs   Advanced Job Search   Data Scientist (Portland, OR or Orange, CA)   Alignment Healthcare   39 reviews  Portland, OR 97204  Alignment Healthcare   39 reviews   Read what people are saying about working here.   Candidates will be accepted from Portland, OR or Orange, CA   Alignment Healthcare is a data and technology driven healthcare company focused partnering with health systems, health plans and provider groups to provide care delivery that is preventive, convenient, coordinated, and that results in improved clinical outcomes for seniors.   We are experiencing rapid growth (backed by top private equity firms), our Data Science & Advanced Analytics team is looking for the best and brightest leaders. Data drives the way we make decisions. We love our customers and understanding them better makes it possible to provide the best clinical outcome and care experience.   This position will play a key role in uncovering deep insights from data using machine learning technologies and advanced statistical analysis, processing very large data sets using cloud-based data pipelines, variety of analytic tools, visualizations and delivering actionable healthcare insights & solutions.   Problems you will work on every day will include:   How do we define customer segments to better understand our customers, and tailor the clinical outcome and healthcare care experience for them?   How do we define clinical outcomes for these customers and understand what variables are key to this success?   How do we improve our experimentation process and analysis?   Build statistical models, apply machine learning techniques, analyze very large data sets and construct metrics using these modeling techniques.   Ensuring data quality throughout all stages of acquisition and processing, including data collection, ground truth generation, normalization and transformation   Guiding critical business decisions by highlighting opportunities, identifying correlations, defining experiments and figuring out cause and effect relationships.   Deploying models in operational software to power insights and actions.   Develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationsBasic Qualifications:   Masters in Computer Science, Engineering, Mathematics, Statistics, or related field   2+ years relevant experience in predictive modeling and analysis.   Experience with machine learning algorithms, including deep neural networks, natural language processing, kernel methods, dimensionality reduction, ensemble methods, hidden Markov models and graph algorithms.   Experience with machine learning, data mining, and analytics techniques   Experience in using Python, R, Java, Scala, Weka, Matlab and/or other statistical/machine learning software.   Experience with data visualization and presentation, turning complex analysis into insight.   Knowledge and experience of SQL.   Excellent communication, analytical and collaborative problem-solving skillsPreferred Qualifications:   PhD in Computer Science, Electrical Engineering, Mathematics, Statistics, or related field   Healthcare domain and data experience   Experience or academic specialization in entity resolution or disambiguation, information retrieval, machine learning, or natural language processing   Previous experience with statistical, econometric, and/or machine learning modeling   Previous experience in a ML or data scientist role with a large technology company   Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.   Knowledge of scripting for automation (e.g. Python, Perl etc.)   Experience with AWS, Azure or GCP is a plus   Experience with NoSQL, Spark, Hadoop, Elasticsearch etc.   Demonstrable track record dealing well with ambiguity, prioritizing needs, and delivering results in an agile, dynamic startup environmentPosition Location:   Portland, Oregon OR Orange, CaliforniaEssential Physical Functions:   The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.   While performing the duties of this job, the employee is regularly required to talk or hear. The employee regularly is required to stand, walk, sit, use hand to finger, handle or feel objects, tools, or controls; and reach with hands and arms.   The employee frequently lifts and/or moves up to 10 pounds. Specific vision abilities required by this job include close vision and the ability to adjust focus.Alignment Healthcare, LLC is proud to practice Equal Employment Opportunity and Affirmative Action. We are looking for diversity in qualified candidates for employment: Minority/Female/Disable/Protected Veteran.   If you require any reasonable accommodation under the Americans with Disabilities Act (ADA) in completing the online application, interviewing, completing any pre-employment testing or otherwise participating in the employee selection process, please contact ******************.   Glassdoor - 3 hours ago - report job - original job   On Company Site   Save this job"
49, NIKE,"Engagement Scientist, Content Analytics","Beaverton, OR",,," Become a Part of the NIKE, Inc. Team   NIKE, Inc. does more than outfit the world's best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At Nike, it’s about each person bringing skills and passion to a challenging and constantly evolving game.   Nike, Inc.'s storytellers, Marketing and Communication sets the brand tone. A creative force of specialists tell Nike’s stories of innovation and sport through advertising, brand strategy, digital engagement and product presentation. Using channels ranging from retail stores to social media, Marketing & Communication teams connect the science and art of Nike innovations to the hearts and minds of athletes around the world. Description Engagement   Scientist, Content Analytics Global   Consumer Knowledge  Nike does more than outfit the world's best athletes. We are a   place to explore potential, obliterate boundaries, and push out the edges of   what can be. The   company looks for people who can grow, think, dream and create. Its culture   thrives by embracing diversity and rewarding imagination. The brand seeks   achievers, leaders and visionaries. At Nike, it’s about each person bringing   skills and passion to a challenging and constantly evolving game.   Nike,   Inc.'s storytellers, Marketing and Communication sets the brand tone. A   creative force of specialists tell Nike’s stories of innovation and sport   through advertising, brand strategy, digital engagement and product   presentation. Using channels ranging from retail stores to social media,   Marketing & Communication teams connect the science and art of Nike   innovations to the hearts and minds of athletes around the world. Description: Nike’s Global Consumer Knowledge Center of Excellence is a growing   team responsible for building and deepening a holistic view of Nike’s consumers   through data and analytics, and applying those insights to inform the   development of incredible digital experiences for our consumers.   We are looking for a Content Analyst who has a deep passion for applying   advanced analytic approaches, an eagerness to dig into the data, and a vision   for turning data streams into a cohesive view of consumers. The ideal candidate excels in a   cross-functional teams and thrives in a fast-pace organization where there is   an opportunity to make a positive impact. In this role, you’ll work as an   extended member of Nike’s marketing team, serving as an analytics expert using   consumer data to identify opportunities to optimize content. You will have the opportunity to develop and   execute the quantitative research and consumer analytics to develop a deep understanding   of our consumers and engagement across Nike’s targeted communication ecosystem,   as input into experimentation/modeling and business strategy. Key responsibilities: Translating   business questions into analysis scope and project plans Shaping   research and analytic plans, developing appropriate quantitative methodologies,   and executing on the plan Leading   the creation of a comprehensive view of relevant consumer engagement with   digital communications, incorporating a wide variety of signals, data types,   and sources Proposing   measurement strategies and frameworks based on consumer journeys to translate   business goals into KPIs and diagnostic metrics Serving as   an expert in analyzing and leveraging data to optimize content for our   consumers  Managing vendors on   fast turnaround projects and large, multi-quarter projects  Qualifications Education: BA/BS   degree required; a focus in marketing, statistics, econometrics, applied math,   or a quantitative behavioral sciences field preferred Advanced   degree is a plus, but not required Experience 2+   years experience conducting quantitative   analysis on digital marketing experiences Required Skills Fluency   in SQL (Hive, Impala) or similar experience in analyzing large structured and   unstructured datasets Experience   using analytics to understand digital consumer behavior and identify   opportunities Experience   with a statistical package is a plus (such as R, MATLAB, SPSS, SAS, Stata,   etc.) Demonstrated   ability to translate business questions and strategy into practical   analyses that are executed precisely, on-time, and on-budget Ability   to connect multiple sources of data (qualitative and quantitative) to tell   a holistic story Track   record of being resourceful, identifying creative solutions and   discovering new data sets/methodologies to answer business questions a   plus Strong communication and presentation skills NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.   NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.  Job ID  SRC082918ES"
50, VanderHouwen,Data & Analytics BSA,"Beaverton, OR",,,"Job ID: 37548 ***Not able to use 3rd Party Agencies***   Data & Analytics BSA  Our client is seeking a Data & Analytics BSA to join their dynamic team in Beaverton, OR. This role will define the design, capabilities, and implementation of an evolving data and analytics platform. This person will work cross functionally with business teams, data science, engineering, and architecture teams to drive requirements through the product development lifecycle.   The Data & Analytics BSA must have experience successfully working on enterprise-scale data products and a deep understanding of how progressive reporting and analytics systems are designed, built, and operated. Candidates should have prior data analytics, design, and modeling experience and a deep familiarity with SQL or HIVE. Success in this role will require an ability to understand both stakeholder and partner requirements to define the short and long-term strategy for delivery, document technical product specifications in appropriate detail, and work across engineering, program, and product to guide development.   The ideal candidate must be able to comfortably maneuver from deep business domain & analysis work to defining technical requirements and potentially prototyping solutions. They should have previously contributed to a data platform, data warehouse, or data product technical programs. They can influence via great technical requirements and engineering partnerships, and is excited to work in a dynamic data environment with a strong set of teammates will be a great fit for this role.  Data & Analytics BSA Responsibilities:  Write, drive, and prioritize thoughtful and detailed functional specifications for data ingestion, data cleansing, data quality, analytic processing, BI, and data science use cases then drive them via an Agile development methodology.   Become a subject matter expert across our client’s entire data & analytics landscape, enabling the Consumer Knowledge organization.   Work with data engineers, data scientists and data product managers on optimal data structures for efficiency of analysis.   Support and troubleshoot issues (process & system), identify root cause, and proactively recommend sustainable corrective actions.  Data & Analytics BSA Qualifications:  Bachelor’s Degree in Computer Science, MIS, other quantitative disciplines, or related fields.   2-5 years of relevant analytical experiences that can translate into defining platform vision into requirements and working with the best engineers, product managers, and data scientists.   Exceptional SQL skills; Experience with HIVE a plus.   Experience writing detailed technical specifications describing requirements for data movement, transformation, storage, quality checks, and access latency.   Incredible attention to detail, with structured problem-solving approach.   Excellent communications skills (written and verbal).   Understanding of the nature of web data and app data.   Understanding of data architecture, data taxonomy, and both structured and unstructured data.   Understanding of logical and physical data modeling.   Experience with agile development methodologies.   Considerable experience with at least one Hadoop distro and associated tools.   Experience with data transformation and BI tools.   Experience with retail or ecommerce domains is a plus. SKILLS: API Data Analysis Data Visualization Real Time Systems Analysis Data Science Big Data Tools Experience  Hive Hadoop Additional Skills: Excellent Verbal & Written Communication Business Intelligence  POWER BI TABLEAU SQL Problem Solving Data Transformation Databases Systems Analyst & Integration Open Source Tools like  Amazon Kinesis APACHE Kafka Gathering Requirements Writing Functional Specifications & Technical Specifications Marketing Analysis Retail Marketing Ecommerce Domains experience is a plus Benefits  Benefits are available to eligible VanderHouwen contractors and include coverage for medical, dental, vision, life insurance, short and long term disability, and matching 401k.  About VanderHouwen  VanderHouwen is an award-winning, Women-Owned, WBENC certified professional staffing firm. Founded in 1987, VanderHouwen has been successfully placing experienced professionals throughout the Pacific Northwest and nationwide. Our recruitment teams are highly specialized in either Technology and IT, Engineering, or Accounting and Finance career markets. Our recruiters value building meaningful, professional relationships with each candidate as well as developing honed knowledge of companies' staffing needs and workplaces. Partner with us to land your next exciting career.   VanderHouwen is an Equal Opportunity Employer and participates in E-Verify. VanderHouwen does not discriminate on the basis of race, color, religion, sex, national origin, age, disability, or any other characteristic protected by applicable local, state or federal civil rights laws."
51, VanderHouwen,Data Engineer,"Beaverton, OR",,,"Job ID: 36578 ***Not able to use 3rd Party Agencies***   Data Engineer  Our client is seeking a Data Engineer to join their team in Beaverton, OR. We are looking for a senior engineer with cloud infrastructure experience to join our Big Data Platform Operations team. We provide cloud infrastructure to over 500 internal engineering and technical business users (Data Scientists and Analysts).  Data Engineer Responsibilities  Support Data scientist with Cloud based captivations   Support data finders within the data movement   Serve as a leader in supporting and operating key aspects of our infrastructure services.   Improve our infrastructure by developing and improving automation tools.   Provide advanced engineering support services to end users:   Gather technical details.   Provide status updates to users and stakeholders.   Track all details in the issue tracking system (JIRA).   Provide issue review and triage problems for new service/support requests.   Agile environment – Will interact with stake holders  Data Engineer Qualifications  MS/BS in Computer Science or related field.   2-3 years of AWS and Python   Hadoop: Experience with Hadoop (Hive, Spark, Sqoop)   ETL: Job scheduler experience like Oozie or Airflow. Nice to have Airflow experience.   Security: Experience implementing role-based security, including AD integration, security policies, and auditing in a Linux/Hadoop/AWS environment.   ELK stack: Experience with setting up ELK stack for Analytics.   Research and deploy new tools and frameworks to build a sustainable big data platform.  Benefits  Benefits are available to eligible VanderHouwen contractors and include coverage for medical, dental, vision, life insurance, short and long term disability, and matching 401k.  About VanderHouwen  VanderHouwen is an award-winning, Women-Owned, WBENC certified professional staffing firm. Founded in 1987, VanderHouwen has been successfully placing experienced professionals throughout the Pacific Northwest and nationwide. Our recruitment teams are highly specialized in either Technology and IT, Engineering, or Accounting and Finance career markets. Our recruiters value building meaningful, professional relationships with each candidate as well as developing honed knowledge of companies' staffing needs and workplaces. Partner with us to land your next exciting career.   VanderHouwen is an Equal Opportunity Employer and participates in E-Verify. VanderHouwen does not discriminate on the basis of race, color, religion, sex, national origin, age, disability, or any other characteristic protected by applicable local, state or federal civil rights laws."
52, VanderHouwen,QA Data Analyst,"Beaverton, OR",,,"Job ID: 38385 ***Not able to use 3rd Party Agencies*** QA Data Analyst  Our client is seeking a QA Data Analyst to join their dynamic team in Beaverton, OR.  QA Data Analyst Responsibilities:  Confirm the accuracy of initial import of data involving thousands of records.   Confirm the accuracy of various data updates and extracts, which involves understanding the logic of complex queries/stored procedures based on requirements, writing appropriate test queries, and executing them to verify the logic and data.   Work closely with business partners and the application development team in eliciting project requirements to create test cases.   Review requirements specifications and identify gaps and inconsistencies.   Work closely with development engineers, business analysts, and other QA team members to identify, report, and troubleshoot defects; verify problem fixes in a detailed, efficient, and timely manner.  QA Data Analyst Qualifications:  2+ years of very strong experience in database testing with the ability to understand, write, and execute very complex SQL queries, and understand the logic of stored procedures.   At least 3 + year’s experience in a Software QA role understanding the entire software life cycle and various QA/testing methodologies/techniques.   1 year experience working with T-SQL, or ANSI-89 / ANSI-92.   Expert level T-SQL to include thorough understanding of the following concepts:   Aggregates: COUNT, SUM, MAX/MIN, DISTINCT, GROUP BY, HAVING   JOINs, ANSI-89 and ANSI-92 syntax.   UNION vs UNION ALL   NULL handling   Sub queries: IN, EXISTS, and inline views, Correlated Subqueries   Constraints, Primary keys, foreign keys, defaults   Error trapping   Transactions  BCP, BULK INSERT  Indexing   Advanced stored procedures and user defined functions programming   Triggers   Excellent verbal and written communication skills; Excellent analytical and organizational skills; Strong deductive reasoning.   Ability to multi-task and work separate projects in a fast paced & dynamic company environment and extremely tight timelines.   Demonstrated ability to work independently with limited direction or as part of a team.  Adaptability : Appropriately reacting to changing situations without a loss of effectiveness and enthusiasm for strategic initiatives and corporate goals.  Analysis : Identifying problems and causes or analyzing how processes and procedures could be improved, collecting relevant information and identifying possible solutions.  Attention to Detail:  Appropriately completing all of the individual tasks accurately or according to workflow/process guidelines with an emphasis on reaching or exceeding quality standards.  Creativity : Being inventive, imaginative and innovative.  Development of Others:  Providing the means for others to grow and develop personally and professionally within and across departments.  Energy : Maintaining a fast, active pace in the normal course of a day.  Flexibility : Going into situations without preconceived notions with a willingness to assess various options in order to determine a course of action.   Integrity: Strict adherence to job-related standards, values or norms.  Learning Ability:  Understanding and applying new information.   Listening. Hearing and comprehending verbal messages and confirming back what you hear.  Team Player : Functioning as an active member of a group while maintaining focus on your individual contributions and responsibilities.   Verbal & Written Communication: Effective oral, written and nonverbal expression without preparation.  Physical Demands  Position requires no significant manual labor.   Position does require moderate standing, sitting, carrying and walking.   Position requires infrequent lifting, repetitive bending and/or moving.   Position requires close vision, distant vision, peripheral vision, and depth perception.   Position requires talking and listening to communications with clients and employees.  Benefits  Benefits are available to eligible VanderHouwen contractors and include coverage for medical, dental, vision, life insurance, short and long term disability, and matching 401k.  About VanderHouwen  VanderHouwen is an award-winning, Women-Owned, WBENC certified professional staffing firm. Founded in 1987, VanderHouwen has been successfully placing experienced professionals throughout the Pacific Northwest and nationwide. Our recruitment teams are highly specialized in either Technology and IT, Engineering, or Accounting and Finance career markets. Our recruiters value building meaningful, professional relationships with each candidate as well as developing honed knowledge of companies' staffing needs and workplaces. Partner with us to land your next exciting career.   VanderHouwen is an Equal Opportunity Employer and participates in E-Verify. VanderHouwen does not discriminate on the basis of race, color, religion, sex, national origin, age, disability, or any other characteristic protected by applicable local, state or federal civil rights laws."
53, Anchor QEA,Managing Scientist,"Portland, OR",,,"Managing Scientist  Location: Portland, OR   Date: November 15, 2018   Job Type: Regular Full-Time   Experience Level: 15 yrs   Required Education: MS   Visit us online: http://www.anchorqea.com  Who Are We?  Anchor QEA is an environmental science and engineering consulting firm that wants to improve the environment and our communities by solving challenging problems. We employ more than 350 people in offices around the United States. Our vision is a growing company that is our clients’ first choice for solving their most challenging problems and our employees’ first choice as a company where they want to work. We believe engaged staff lead to great client service and to a financially strong company—in that order. Our work environment fosters personal and professional growth for employees by providing autonomy, a clear vision, and the ability to master their skill set.  What’s the Opportunity?  Anchor QEA has an immediate opening for a Managing Scientist in our Portland, Oregon, office to manage, execute, and support projects in our Environmental Geochemistry Laboratoryand other related projects.   Responsibilities:  Provide overall technical and managerial oversight of projects. Demonstrate success in generating revenue by developing and independently managing new work for the company, including approach, delegation, task management, and budget management. Make authoritative decisions and recommendations that impact extensive activities of the company. Represent and potentially lead the company in marketing initiatives as a member of an overall team, including but not limited to conference attendance, committee membership in technical and professional societies, proposal development, and generating new client contacts. Fully responsible for interpreting, organizing, executing, and coordinating assignments. Negotiate critical and controversial issues with top-level officers of other companies. Possess a high degree of creativity, foresight, and mature judgment in planning, organizing, and guiding projects. Plan, organize, and supervise work of project teams or teams of staff dedicated to one task of a larger project team. Provide Quality Control before products are sent to clients. Mentor staff on workload, technical approach, and career development. What Are We Looking For?  The ideal candidate will have the following:  PhD in Environmental Science, Environmental Chemistry, or Geochemistry Minimum 15 years of experience in environmental consulting including project and staff management Experience working in a research laboratory environment. Understanding of environmental analytical methods, data validation, and corrective action to address data quality issues Experience designing, managing and executing laboratory and field studies to document and assess contaminant fate and transport, bioavailability, and remedial technology feasibility and performance Excellent written, oral, and interpersonal communications skills What Can You Expect?  A collegial work environment; a competitive salary, bonus program, and excellent benefits, including health insurance (medical, dental, vision, and long-term disability); a generous retirement plan match; and vacation/sick leave.  How Do I Apply?  As an equal opportunity employer, Anchor QEA is committed to a diverse, multi-cultural work environment. Anchor QEA does not discriminate in employment on the basis of age, race, creed, gender, religion, marital status, veteran’s status, national origin, disability or sexual orientation.  Anchor QEA is an Equal Employment Opportunity Employer"
